	RGA1	AT2G04100	AT2G10940	AGP9	MYB7	HIS1.3	AT2G19310	TET2	HB6	SVP	AT2G28400	CYP707A2	AT2G31110	AT2G33830	EXL7	AT2G36220	ABI5	AT2G36630	PIP2B	EXP3	AT2G37750	LTP2	PIP2E	AT2G39980	HSPRO2	EXPA8	CAMBP25	ORS1	AT2G41760	MAX2	AT2G42900	IBH1	SSI2	ARL	PIP1B	GBF3	RS31a	TSPO	AGP26	AT3G04010	AT3G08030	ATERDJ3A	AT3G11690	AT3G11930	AT3G12050	AT3G14200	AT3G15770	AT3G17100	AT3G17520	AT3G03870	HB.1	AT3G03270	ETR2	AT3G23170	AT3G26510	AFP3	AT3G43430	CYP71A25	AT3G50560	PIP2A	EP3	AT3G54510	AT3G57010	AT3G57400	ARGOS	AT3G62650	ATG8B	AT4G05070	CYTC.2	HKT1	RHA1B	AT4G12510	AT4G12520	FLA2	XTH15	AT4G14270	AT4G14930	IAGLU	RALFL33	EXLB1	TIP2;2	G3Pp4	HSA32	AT4G25260	WES1	AT4G27280	YUC8	XTH24	XTH19	AT4G32480	ABF3	AT4G34770	AT4G35720	AT4G38860	ST2B	ST2A	AT5G10770	AT5G12940	AT5G13500	AT5G02760	AT5G14690	FDH	AT5G17780	AT5G18030	AT5G01740	SIS	AT5G02230	DIP2	AT5G19120	AT5G23870	ESE3	EBF2	GID1C	NAC6	AT5G43450	AT5G44260	HAT2	AT5G47420	TDT	PAT1	AT5G49170	AT5G49700	AT5G50335	AT5G50360	OLEO3	AT5G51440	HB52	PBP1	COL5	AT5G57760	AT5G59845	AT5G60840	OBP4	AT5G66590	UGT72E2	AT1G06980	SR30	AT1G09250	AT1G10140	AT1G11210	ATBETAFRUCT4	AT1G02470	RTFL17	AT1G13990	AT1G14890	AT1G16850	AT1G21680	AT1G22190	AT1G22910	AT1G26800	ASG4	YUC3	ERS2	DYL1	GA2OX2	AT1G32520	AT1G36060	AT1G36940	AT1G44830	CXE5	AT1G53180	ZF14	AT1G61667	AT1G62770	ENODL8	MGL	AT1G65490	AT1G66080	AT1G66540	AT1G68620	NAP	NRT1.2	AT1G70000	AT1G70985	AT1G71110	AT1G73480	BEE3	UBC16	AT1G75490	NAC032	ECT8	AT1G79520	SAG20	RTFL12	AT4G36648	AT1G29465	SAUR29
ASG4	0.4213	0.1647	-0.2894	0.1449	1.369	1.29	0.7175	0.678	-0.5263	0.066	0.5793	3.2249	0.3819	0.3621	-1.8294	-0.013	1.5664	3.521	0.6385	-0.013	-0.625	-0.3486	0.8952	0.6188	0.2239	0.1055	1.9416	-0.2302	0.757	1.29	-0.2104	-1.0002	1.5862	-0.2302	1.7244	3.7974	-0.171	1.3295	0.3819	-0.2697	0.6977	0.4016	0.4016	-0.013	-0.0328	0.5003	-1.0002	-0.3684	1.527	-0.2894	1.2505	-0.8027	-0.3486	-0.4474	0.6385	0.5398	-1.0199	0.4608	1.2505	1.8626	0.0462	1.5072	0.5201	0.2634	-0.4868	-0.9409	0.2042	-0.3486	1.1716	-0.1907	-0.092	-0.1315	-0.4671	-0.862	-0.9804	-0.862	0.2831	2.2377	-0.1315	0.2831	0.0265	3.4618	0.2831	0.2042	0.1252	0.0067	-0.5066	-0.5856	0.2042	-0.0722	4.5674	-0.625	-0.092	1.2703	-0.4079	-0.9212	-0.3486	0.0067	-0.2697	-0.625	-1.1186	0.5003	1.8626	0.599	0.9149	0.9347	0.6583	2.139	-1.8096	-0.783	0.1844	-0.6053	-0.4079	0.4016	1.6849	-0.013	-0.9607	0.4411	2.139	1.1913	-0.2697	1.1123	-0.1512	1.4282	0.3819	-0.1512	-0.1117	0.1252	0.7767	0.1252	0.1449	0.066	0.6188	-0.171	-0.6843	1.0729	0.3029	0.8952	-1.474	1.7046	-0.0328	0.7175	0.4411	-0.6053	-0.3289	0.599	0.5003	0.4411	-1.0002	-0.862	0	-0.5066	0.0067	0.0857	-0.5658	2.3759	-0.8225	-0.8027	0.1252	1.3887	-0.2894	-0.0722	-0.9409	-0.2697	-0.2697	1.2111	2.4746	0.3621	1.7244	0.7372	1.0926	-1.9083	3.8369	2.4944	0.1647	2.9879	0.0462	0.1449	0.9347	2.7313	4.982	3.5013	-1.9281	-0.2302	0.0857	0.3029	-0.0328
YUC3	0.5595	0.3819	-0.4671	0.4411	-0.2894	-0.1315	-1.2173	0.4213	-0.7238	0.678	-0.013	-0.1117	-0.3684	-0.6645	-0.3092	0.0462	0.9149	0.3621	0.4016	0.678	0.4806	-0.171	-0.0722	0.9741	0.6188	2.06	-0.7238	0.0067	0.5398	0.4016	1.0531	1.3098	-0.1315	0.9347	0.599	-0.3486	-0.3486	0.3226	-0.8027	-0.2302	0.3029	-0.704	0.4411	-0.7435	0.3819	0.0462	-0.5263	1.6849	-0.0722	0.2634	0.1055	-0.7632	1.7836	-0.2302	0.0265	0.5793	0.3424	-0.0525	-0.013	-0.092	-0.5066	1.6059	1.0334	-0.3684	1.7046	0.7372	-0.783	0.5003	-0.8225	0.8162	0.9741	1.9021	1.9613	-0.2302	0.8557	0.4016	0.0265	2.0995	-0.7632	-0.9607	0.8952	-1.6912	-0.092	1.8231	1.7046	0.4213	4.4489	-0.1907	1.6849	-0.092	0.5003	0.5003	4.6661	1.6257	1.2703	0.3424	-0.013	2.3759	0.4016	0.678	3.4223	-0.7238	0.3819	1.5862	-0.4474	2.2772	-0.5066	0.066	0.3621	-0.3881	0.6977	0.4411	-0.0328	0.2831	-0.6053	1.2111	2.4351	-0.625	0.0067	0.5595	1.448	1.1123	1.3295	0.3029	0.8557	-0.0525	1.1321	0.5595	1.1913	0.6977	-0.3486	-1.474	-0.2302	1.3098	0.9939	1.981	-0.783	1.1321	0.757	-0.7435	-0.092	-0.5658	0.5398	0.3819	-0.6053	-0.3289	0.5003	-0.0722	0.4411	0.0067	-0.5066	0	0.9347	-0.1512	-0.5461	-0.8422	2.83	-0.8422	0.5003	-0.2894	2.5338	0.9149	0.066	1.8626	1.0729	0.0067	-0.5856	-0.5658	-0.1907	0.5201	0.678	0.0462	0.6385	-0.1315	0.2042	0.6583	0.9741	-0.3486	1.0334	0.0265	-0.1512	-0.7435	-0.2499	-0.5856	-0.1117	0.5595	0.9544
ERS2	0.0857	-1.3555	-0.092	-0.4276	1.3295	-0.2894	-0.3486	-0.3684	0.7372	-0.9804	1.3887	1.1123	-0.6843	-0.2697	-0.704	2.1785	1.1716	0.9149	-0.3486	1.8034	0.4016	1.8034	0.1449	5.4361	0.1252	0.0265	1.3887	5.7717	0.2239	3.8764	1.6652	2.4746	0.2634	9.3452	0.0462	2.0403	-0.3289	-0.1512	0.2437	0.1647	0.7767	-0.0328	0.8952	1.1716	0.5793	-0.5066	0.9741	1.448	0.1252	1.0729	2.139	-0.3684	9.0293	0.757	0.1844	2.2574	0.9741	-0.862	0.0857	-0.9212	-0.9409	1.0334	1.1716	0.0265	11.0234	1.9021	0.8557	-0.5856	-0.3881	0.2042	0.066	-0.8225	-0.3486	-0.3486	0.7767	-0.2302	6.2061	6.6799	-0.625	0.5595	-1.0791	-0.7238	1.1518	1.1716	4.133	0.5201	1.1716	-1.2371	0.5595	-0.0525	0.5398	2.8892	3.5605	-0.9607	3.6789	2.6128	0.3621	1.0334	1.527	5.1597	0.6385	3.9159	5.3768	-1.1581	2.1192	2.3167	-0.7238	0.1252	0.3424	1.7836	1.981	12.4646	2.9287	6.5812	0.8162	4.6858	1.4282	-0.704	0.678	4.5476	3.7184	5.2979	5.3966	0.5793	0.3819	-0.4868	4.7648	0.3226	0.3621	7.904	0.3424	-0.2104	-0.1512	-1.0989	0.1252	-1.6517	0.3621	1.3295	1.0531	0.9149	-0.8027	0.9939	0.1647	0.9544	2.909	0.0462	1.0531	0.5398	-0.6843	0.3424	0.0067	0.9347	0	0.757	0.0067	-0.013	2.7313	0.2634	3.9159	4.4489	3.9553	1.4677	-0.3486	2.6918	-0.1315	3.5802	-1.1778	0.5003	0.0462	0.7175	4.1133	0.2239	-0.8027	-0.783	0.4213	0.1844	6.6009	-0.625	4.6266	-0.2499	0.6977	0.4411	1.369	1.1716	-0.1315	0.7965	-0.3881
DYL1	0.5793	0.1647	-0.092	0.0462	-0.0328	3.1261	0.8952	1.1321	0.4016	1.3493	0.8754	-0.1907	-0.6053	17.4004	0.4608	0.678	1.7046	-2.086	0.4806	0.5398	2.3364	1.8034	-0.5461	-0.0722	1.6849	-0.3684	0.2042	-0.704	0.4411	1.448	0.2831	-0.1512	-1.1976	0.599	1.3493	1.1321	0.1449	1.0729	-0.8225	0.6188	-0.4276	-1.5727	-0.013	1.8428	-0.7238	-1.553	-0.3289	0.6385	0.4213	3.5407	0.066	0.1844	0.3424	0.5003	2.4746	0.8557	1.448	-0.0525	0.4806	1.0729	-0.4868	-1.0002	-0.092	-0.4079	-0.2697	1.4875	-1.1976	5.3374	-0.9212	0.1252	3.9356	0.2634	-0.0525	-0.6053	1.6849	5.7125	0.0067	-1.5135	0.6188	0.9939	1.3098	-0.7632	0.4411	0.7767	2.0205	-0.2104	0.0462	0.2042	-0.4474	2.139	0.7965	-0.6843	0.6385	-0.092	-0.704	1.5467	0.9741	-0.2499	-1.2371	-0.8027	-0.2499	1.7244	-1.6912	-0.4671	-0.3092	2.6326	0.2437	0.5595	4.0343	0.1449	-0.2894	0.9939	2.0205	0.599	0.0067	2.3167	1.4677	-1.1186	-0.0722	-0.4079	-0.3881	0.5201	-0.5066	1.448	0.5793	0.066	1.0531	-0.3684	0.2437	0.4016	-0.704	-1.553	-0.1315	-0.2697	0.3424	-0.1117	0.3621	0.678	3.0077	1.1716	-0.9804	-0.4868	1.6059	-0.1117	2.5733	1.0334	3.6592	0.3029	0.4608	3.7579	0.0857	-0.1512	0.757	0	0.8952	-0.9804	0.6188	0.5201	-0.2894	0.6977	0.8952	0.7372	0.3226	2.4351	-0.2302	2.9287	-0.1907	-0.6645	-0.5066	1.5862	1.7244	-0.3486	0.0857	-1.0002	-0.4276	-0.4276	0.1647	-0.5461	1.9416	1.1123	0.0067	-1.2173	3.2249	0.5595	0.5003	-0.5066	-0.3486
GA2OX2	-1.0791	0.1252	0.9939	0.2831	-0.1907	-0.783	-0.5658	-0.6645	0.3819	-0.7238	-0.0722	-0.9212	-0.171	0.757	0.1449	0.066	2.0403	-1.3555	-0.4474	-0.092	0.4213	0.5595	-0.1512	-0.704	0.6977	-1.2371	1.8626	-0.3289	-0.2499	0.0857	-0.0722	-2.6388	-1.9478	-0.2302	0.4213	0.6977	0.678	-0.3289	-0.4671	-0.3684	1.6257	0.6188	-0.783	-0.6843	0.0857	0.5595	1.5467	-0.783	-0.0722	-0.092	-1.3555	0.6977	-0.4474	1.2308	0.3621	0.5201	2.139	-0.3881	0.0067	0.2239	0.3029	-0.9804	-0.3092	-0.7632	-0.0525	-0.8225	0.9149	-1.4148	0.7767	-0.2894	0.5398	-1.553	-1.1778	0.4411	0.6385	-0.6645	0.3621	-1.3753	1.4875	0.066	-0.6645	-0.9212	-1.3161	-0.704	0.599	1.8626	0.0067	2.1785	0.2042	1.6257	-0.6053	-1.0002	-0.1512	-2.2045	-2.2242	-0.1512	0.2634	1.1913	-0.3289	-1.3358	-0.8422	-1.0002	-0.6843	-1.0989	-1.0396	-0.8422	1.0136	-0.2697	0.7965	-0.1512	-0.5856	-0.8225	-0.171	-0.7435	-0.6645	-2.244	-1.0002	0.3226	-1.4148	-0.862	-1.5727	0.4411	-0.8817	0.4016	-0.9212	1.1123	-0.8027	1.3295	-0.5658	-1.7504	0.7372	0.0067	-0.4276	-1.7504	-0.4868	0.3621	0.3424	0.9149	0.2437	1.1123	-0.1315	0.6977	-0.7238	-0.2302	1.0136	-0.5856	-0.0328	-0.013	0.0265	-0.3684	-0.5658	-0.5461	0.0067	0.8952	0	-1.474	-0.3289	1.0729	0.4411	-0.4276	-1.2371	1.9021	0.5201	0.5201	-0.783	0.1055	-0.092	0.5003	-0.1315	1.1123	0.0265	-0.4474	0.6188	-0.9804	1.5072	-0.2894	-1.4148	1.3493	-0.2894	0.7372	-0.171	-0.2104	2.0403	0.066	0.5003	-0.8817	-0.9212
AT1G32520	0.9149	-0.4276	-0.5461	-0.625	0.2634	0.6385	1.5467	0.9347	-0.0328	1.5862	-0.0722	1.7441	0.6583	-0.8027	-0.1315	0.5003	-0.625	3.4025	0.2831	0.7767	-0.013	0.0857	0.4806	0.1844	-0.4276	0.5201	1.3887	0.3029	0.0857	-0.4474	0.8952	0.4608	2.4549	0.6977	0.3029	-1.1384	-0.092	0.5398	-0.0328	0.4411	-0.6843	-0.1117	0.1647	-0.3486	0.5003	0.3029	1.3887	0.5398	0.1449	0.4213	0.6188	-0.2302	-0.8027	1.9021	-0.013	-1.1384	-0.3684	1.4085	0.5201	-0.4868	0.757	-0.4276	0.6385	1.981	0.1647	0.2437	0.4608	-0.1512	0.9741	-0.2894	0.1844	-0.5461	-0.5066	-0.0722	-1.9083	-0.4474	0.7175	2.3562	1.1913	0.9939	-0.8027	1.3493	0.3621	-1.0199	-0.8027	-0.1512	-0.4868	-0.625	-0.5066	0.2634	0.8952	0.4806	-0.9409	1.1518	0.3226	-0.1117	-0.1315	-0.0722	-0.7238	0.1252	0.0265	-0.2499	0.6385	0.7965	1.2505	0.4411	2.5931	-0.013	-1.1186	-0.092	-0.0525	0.0857	1.1123	1.0729	1.29	-0.1315	0.0462	-0.171	1.8626	0.9939	0.2239	0.757	0.599	-0.704	-1.3161	0.1252	-0.2499	0.4016	-0.9014	0.5793	-0.3486	-0.4079	0.3621	0.599	-0.7238	0.599	0.3029	0.1252	-0.8027	0.2831	0.2239	0.0462	1.5664	0.5793	-0.9409	0.8754	0.0857	0.4411	-0.3486	-0.5461	2.3759	-0.8422	-0.013	-0.9804	-1.474	0	0.5201	-0.5658	-1.0989	0.2437	-0.1315	-0.6053	0.3819	-1.2568	-0.5461	-0.3486	3.7974	0.6583	0.8557	0.3226	0.4608	-0.013	2.6918	3.0472	-0.1315	0.2831	1.9021	-0.2104	0.1252	0.6188	1.1321	2.1192	-1.3358	-0.3289	0.8162	1.2703	0.2634
AT1G36060	0.1844	1.3887	-1.5925	0.1647	0.5201	-0.1907	-0.1315	-0.4868	-0.6448	0.6977	0.4411	0.6385	-0.0722	0.066	0.8754	0.2437	-0.0328	-0.1315	-0.5461	0.2634	0.7965	1.7441	-0.7435	1.7639	0.5201	-0.1117	0.5398	2.3364	0.599	0.9544	0.0265	1.2703	-0.4671	2.1982	-1.1384	-0.9409	1.2505	0.3226	-1.1186	-1.0199	0.6977	-0.171	1.1518	0.5595	0.2042	0.3819	-0.1315	0.2042	-0.1512	0.4016	0.9544	0.1449	4.6661	1.3887	0.5793	0.1449	1.1321	0.1647	1.0729	-1.1976	-0.3881	1.9218	-0.9014	-0.1512	3.4223	1.2703	0.9939	0.4806	-0.1315	-0.013	0.0265	0.2239	0.5595	0.5398	1.2703	0.2831	1.8034	1.9218	0.7372	-0.862	-0.7238	-1.7899	1.6652	1.4677	1.0729	-0.2499	1.3887	-0.0722	0.9149	0.1844	0.3819	0.5201	3.2643	0.1252	0.7175	1.1321	0.3424	0.3226	1.6257	0.757	3.2643	-0.0525	0.678	-0.1117	0.9939	1.0531	-0.171	-0.3881	0.4016	0.4213	1.3098	1.981	0.3029	1.9021	0.1449	1.8823	0.5595	-0.7632	-0.6645	-0.4079	1.0334	2.0205	1.2111	0.5201	0.3029	0.3226	2.7708	-0.7632	0.3621	0.5398	-0.1512	0.2634	0.066	0.2437	0.2634	0.4411	0.8359	1.8034	0.7965	-0.1117	-0.2697	-0.4474	0.066	1.1913	0.7767	0.1252	-0.013	3.6987	-1.0002	0.4213	-0.8225	2.83	2.7313	0.6188	-0.3289	0.5201	0	-0.6448	2.2772	0.9544	3.9553	-0.2104	1.7046	2.2377	0.3029	1.2703	-0.092	-0.3289	0.7372	-0.5461	0.1647	1.9021	0.3029	0.1252	0.3621	-0.2499	2.1192	-0.5658	1.6454	-0.625	-0.6448	-0.1117	0.7767	0.2239	0.4411	0.1449	-0.0525
AT1G36940	0.0857	-0.4868	1.7046	2.0205	-0.7632	0.1844	-0.862	0.1844	0.6583	0.599	0.066	-0.9014	0.5201	-0.171	-0.3289	1.5072	-0.1315	-0.9014	-0.8225	1.3098	-0.8027	-0.1512	1.4282	0.7372	-0.1117	1.7244	-0.013	0.4213	1.6849	-0.013	0.9544	1.9416	-0.8422	0.066	-0.7238	-0.6843	0.5595	-1.1186	3.6	-0.4671	1.8034	-1.0396	0.4411	-0.3289	-0.6448	-1.0002	1.0729	3.442	-0.0328	1.3098	0.9939	-0.862	0.3029	0.2437	1.6059	-0.0328	2.9879	0.2437	1.2703	-0.3486	-1.2173	0.1844	0.2634	1.527	0.8557	0.3621	-0.2302	0.4411	-1.2173	0.0857	0.757	-0.5461	0.4213	1.8034	2.2772	0.4411	1.2111	-0.4671	2.2377	-0.0722	-1.5332	0.0857	-0.4079	2.4549	3.5605	1.7441	1.4677	1.3887	1.2308	1.1123	0.1252	4.291	-0.092	0.757	2.3167	0.1449	0.9347	1.527	-0.092	2.4549	0.6977	0.8754	-0.8422	1.0136	1.981	-0.2894	0.4213	-2.3427	0.6583	3.0867	3.4025	-0.1117	-0.625	0.7175	0.1055	2.2772	1.6652	-0.4868	-0.783	0.7372	1.981	1.9613	1.6454	-1.0002	0.4411	-0.5263	1.1518	1.369	0.4608	1.1321	-0.6843	2.6523	0.5201	1.8626	-0.7238	1.3887	-0.2302	1.3098	1.1321	-1.0396	-0.3486	-0.1117	2.1192	1.2111	-0.013	-0.704	-0.2499	0.8754	1.448	1.1123	-0.8027	-0.8422	0.2634	0.5201	1.0729	-0.5658	-0.6448	0	2.6128	-1.1186	0.7965	0.1252	2.2969	0.3029	3.7382	0.4411	-0.4474	0.6583	-1.0002	0.0462	0.1844	-0.4276	-0.783	1.6257	-1.474	-0.3684	2.83	0.4806	1.0531	-0.6843	-0.704	-1.0396	-0.4474	-0.4671	0.1252	0.4016	1.1321
AT1G44830	0.9544	-1.0199	0.1252	1.8823	1.1518	-0.8817	-0.4474	0.3819	-0.4671	-0.3289	0.6977	0.5201	0.1252	-0.5461	-0.7632	1.3887	0.1844	1.369	-0.0722	1.2111	-0.5461	1.3295	0.1647	1.5467	0.2042	0.0857	2.1785	2.3167	0.4608	-0.8422	0.9149	0.3029	-1.0989	4.7451	0.066	-0.7435	0.2042	-0.6843	2.06	-0.2697	2.218	-0.3684	-0.8817	-0.3289	-0.9014	0.1449	0.6385	1.4085	-0.4868	0.3029	1.1716	-0.013	3.8764	1.7441	-0.5461	0.1252	1.8231	-0.1117	1.8231	-0.1907	-1.0594	1.8231	0.0857	0.0857	5.3571	0.1647	0.0462	-1.2173	-0.4276	0.7175	-0.9607	0.6583	2.1587	1.0136	3.3433	-0.4474	2.3562	1.6652	1.1321	-0.4868	-0.1117	-0.6645	0.1647	3.1064	1.7046	2.3562	1.1913	0.2634	3.6395	-1.4148	0.4806	3.4618	2.672	0.8162	1.1321	0.757	-0.2894	2.9287	0.6977	3.1064	0.4806	1.3887	2.5141	-0.9212	2.2574	-0.013	-0.0328	0.0462	-0.9607	1.9416	3.0472	2.2377	0.6385	1.6454	0.1449	2.2377	0.2042	-0.5658	-1.0396	0.6583	4.1133	1.7639	5.0215	-0.4276	1.0136	0.3226	3.2249	1.5862	-0.3881	4.4489	0.5595	0.5201	-0.7238	-0.6448	0.2831	-0.3684	-0.6053	0.678	-0.013	0.5003	-0.2302	1.369	-1.4148	-0.5066	0.8754	-0.0328	-0.783	1.3493	0.5201	-1.0396	0.1252	0.5003	3.9159	-0.2894	0.4411	-1.0989	2.2772	2.6128	0	2.1587	3.4025	0.4806	1.5862	2.9682	3.6	0.9544	-0.4868	0.4016	-0.4671	-0.2894	0.6188	-0.783	0.3226	-0.1907	0.3621	-0.7435	4.5476	-0.2499	1.3295	-1.474	0.1252	-0.4474	-0.013	1.5862	-0.5461	0.5003	0.0067
CXE5	1.7441	-0.1315	0.2634	0.7965	2.5536	0.0462	1.7639	1.0729	-0.1907	0.2042	-0.171	2.2377	-0.2302	-0.2697	-0.4671	1.2505	0.2634	0.4411	2.1192	0.5793	0.1844	1.5862	1.0334	3.7184	-0.6053	-1.4937	0.7175	2.5338	-0.0328	2.139	0.4411	0.7767	0.6188	3.4815	1.3493	0.0857	-0.5066	0.3424	0.4016	0.757	1.448	-0.7632	1.6849	0.2634	0.9544	0.2042	-0.4276	0.1252	0.1844	0.1647	2.5931	0.6977	3.8764	1.3493	-0.013	-0.6645	-0.171	0.678	-0.3486	0.8754	-0.1315	-1.1778	1.8034	1.1913	4.0541	1.0531	0.2831	-0.625	0.1252	0.5398	1.6652	0.8557	1.1123	1.369	0.8359	-0.8422	2.83	4.6266	0.5398	0.7372	1.369	0.5003	0.0265	1.0334	-0.0722	0.5003	0.1449	-0.9607	0.9149	-0.8422	1.5072	0.8557	2.6918	-0.8817	1.7441	1.0531	1.7244	0.0857	1.0531	2.1587	0.8162	2.3167	3.8961	-0.9212	1.5862	-0.5658	0.0462	-0.2302	-0.862	1.6257	1.527	4.5279	2.8497	2.5338	0.3226	1.9021	-0.0525	0.1449	0.4411	1.5664	1.2111	1.9218	1.7441	-0.013	0.8754	0.1844	2.672	-0.0722	-1.4543	3.521	1.1321	-0.0722	0.2239	-0.783	0.2239	0.6188	0.8952	1.1913	0.2634	2.3956	-0.0722	0.5398	-1.395	0.066	0.4213	0.1844	0.1844	1.2505	0.0857	-0.862	1.3887	-0.2894	4.4489	0.6977	-0.4276	0.2437	0.9544	-1.1186	2.1587	0	2.3759	0.599	0.2634	1.7244	0.4213	1.0136	-1.1384	1.5664	1.4875	0.3226	0.757	-0.0722	2.8892	1.2308	0.1844	-1.0594	3.2643	0.6977	0.7965	1.0531	1.6454	-0.092	1.1913	0.5793	-0.3486	-0.171	-1.1384
AT1G53180	1.981	0.5793	-1.3358	0.4411	2.4154	0.8952	-0.2894	0.4411	1.0926	1.0926	0.2437	-0.1907	-0.8027	-0.2894	0.7965	1.2505	0.4806	0.2634	-0.0525	1.7441	0.757	1.0729	-0.704	1.527	1.2308	1.0136	-0.013	2.3956	0.7767	1.527	0.5201	1.29	-0.3289	4.6069	0.5398	-0.1117	0.757	0.0265	-0.1315	0.2437	1.6652	-0.6645	1.5072	-1.0791	0.6188	0.6977	1.8231	1.4085	0.4806	1.8034	2.6918	0.7965	6.0086	-0.3289	-0.1117	0.0067	1.5072	0.1647	0.2831	-0.9014	-1.474	0.7767	0.6583	0.2042	4.8438	1.1518	0.4213	0.8952	-0.8422	0.1647	1.5467	-0.2302	0.5201	-0.2104	1.4085	1.6849	2.3956	2.9879	-0.4671	-0.1315	-1.1581	-1.0199	0.6977	1.6454	1.7639	-0.092	1.8231	-0.5461	1.6059	1.29	1.6849	2.6918	3.7579	-0.2302	2.0008	2.2772	0.5003	1.8626	0.0857	1.6257	3.5802	1.5072	1.3887	-0.2894	0.6977	2.139	1.6059	0.4411	0.7372	1.0136	1.8823	2.9287	1.369	2.7708	0.3621	2.4351	1.6059	0.1647	0.0857	1.8626	2.5338	2.9287	3.3236	-0.7435	0.678	0.2042	4.4687	0.7767	1.0136	2.2772	0.1449	0.6385	-0.6645	-1.1976	0.0857	0.7767	-0.2499	1.0136	2.4154	0.6188	-0.3684	0.2831	0.1449	0.2042	1.0136	-0.6053	-0.1512	2.2772	-0.4474	1.4677	-0.2894	2.5338	3.9553	0.8952	-1.2371	-0.1315	3.9553	0.7965	3.4025	2.3759	0	0.0462	-0.1117	3.1261	1.0531	0.4213	-0.9212	0.4016	-0.5856	1.0729	2.6523	0.5595	0.0857	-0.7238	-0.3486	1.0334	3.8171	0.6188	1.0729	0.4016	0.0462	0.3819	0.8952	0.0462	-0.2499	-0.4474	-0.0722
ZF14	-0.6843	2.4549	0.1449	0.3029	1.3295	-0.3289	-0.6053	-0.2894	-0.5461	-0.2894	0.0265	0.4411	-0.3289	0.5201	-1.0396	2.0995	0.599	2.0403	1.4282	-0.8027	3.0077	-0.0722	0.2437	-0.2499	0.7965	-0.8027	0.6188	0.9741	-1.395	1.9021	-0.3881	-1.2568	-0.5263	-0.1512	0.8952	0.5398	-0.8422	0.9544	-0.0525	1.2308	-0.5066	0.1252	0.6188	0.1252	0.9149	0.3029	-0.6843	0.4213	0.5201	0.1449	0.6385	-0.013	0.6583	0.4016	-0.4474	1.9416	2.3956	-0.4868	0.9347	0.9939	0.5595	-1.2963	2.7313	0.2437	-0.0328	-0.8027	0.1449	0.066	0.0462	0.3621	0.3226	-0.4276	-0.5658	-0.6843	-0.1117	-0.1907	0.757	0.5201	-0.8422	0.1844	0.4411	0.0857	-0.4079	-1.3161	3.1459	0.757	-0.2104	0.3621	-0.2697	0.8952	1.3493	-0.4474	0.1252	-0.5263	-0.3486	0.8557	0.3226	-0.5856	0.1449	0.3226	-0.013	-0.013	0.9544	-0.9409	-0.2302	1.0729	-1.0791	1.1716	0.6583	-1.6319	-0.3881	1.1321	1.9021	1.0926	0.5003	-1.0002	0.8952	0.3819	1.448	-0.0525	0.0067	3.9553	0.4411	0.9347	-1.0989	0.9149	1.2308	0.7767	0.0857	-0.6843	0.0067	-2.0268	0.3819	-1.3555	0.5003	-1.9873	0.5398	0.1449	2.6523	0.6188	0.5595	0.9939	0.8359	-0.4276	1.4085	-1.2766	0.3029	-0.1315	-0.3092	-0.092	-0.0722	0.9149	1.4677	0.7372	1.9021	-0.6053	-0.2104	0.1252	0.4806	0.599	0.0462	0	0.0067	0.1844	-0.5066	1.8428	-0.8027	0.1252	0.2042	4.0343	0.7767	-0.013	0.9544	-0.9804	0.5003	1.3098	0.1844	-1.0199	0.678	1.5862	0.7965	0.8359	0.4411	0.1449	0.0265	-0.1315	-0.8225
AT1G61667	0.1449	-0.0722	-0.013	0.6977	0.2437	0.3819	-0.171	0.9939	0.6385	0.0857	-0.1907	-0.2499	1.0729	0.1844	0.8754	1.1123	0.1647	0.2437	0.0067	-2.1847	0.2634	-0.0722	1.3098	0.2634	-1.5135	-2.1255	-0.0525	1.2308	0.1055	-2.0071	-1.0989	0.4411	-0.6843	0.8162	-1.1976	-1.4543	-0.0722	-0.171	1.4282	0.9149	0.6977	-0.2499	1.2308	-1.1186	-0.171	0.9939	0.4411	-1.0002	-0.0525	-0.5658	0.9741	0.066	1.1716	1.3887	-0.3289	-0.8027	1.1913	-0.4474	1.3098	-0.2894	0.5398	-0.4868	0.0857	-0.4671	1.5467	-0.5658	0.4213	-0.8422	0.6385	-0.2894	-1.7307	0.2437	0.7965	2.8102	2.5733	-0.1512	-0.8225	-0.5066	3.521	0.5201	-0.3881	1.527	-0.7435	0.8952	0.7372	0.4213	1.4677	2.7905	1.9416	0.3819	-0.2697	0.9149	0.3029	0.7372	0.7372	0.0462	1.3887	-0.3289	1.0729	0.2634	-0.783	-0.013	-0.3881	-0.3684	2.6523	-2.5401	0.2042	-0.7238	-0.9607	2.3562	0.8557	0.8557	-0.092	-0.7238	-0.5066	0.2239	-0.3881	0.6188	-0.3881	-0.8422	-0.5658	0.9741	0.1647	-0.4474	-0.5658	0.0462	0.8754	-0.1512	-0.0328	1.3887	0.3424	1.29	-0.2104	-0.3684	0.3819	1.4875	0.2437	1.1321	0.6583	1.1913	-1.6912	0.3226	0.2239	-0.3881	0.6977	1.1123	-1.1976	0.5595	0.9544	0.1449	-0.9409	0.066	-0.3486	0.3226	0.5201	0.3819	1.7046	2.2969	1.5862	0.2634	-0.1117	0.0067	0	2.3167	1.1716	-0.625	0.2437	0.9347	-1.2766	-1.3161	-1.2963	2.0008	-0.0525	1.369	0.5595	-0.6053	1.1518	0.0265	-0.013	-0.4276	0.5793	-0.5461	0.8754	-0.3289	1.5467	0.2239	-0.2302
